,Mean Returns Net,Mean Returns Gross,Mean Returns Hold,Cum Returns Net,Cum Returns Gross,Cum Returns Hold,Num Trades
SG1_RSIN_AAPL,3.492335178485551e-05,7.362207952684737e-05,1.0634010603470908e-05,0.06984056881072975,0.1530922978574214,0.01947653855222775,151.0
SG2_RSIN_AAPL,1.0237925862247047e-05,1.901056008714794e-05,1.0634010603470908e-05,0.01990714192773768,0.037382830876616424,0.01947653855222775,35.0
SG3_RSIN_AAPL,8.724051069145557e-06,4.3818000730023084e-05,1.0634010603470908e-05,0.016986644373551574,0.08851564201210493,0.01947653855222775,137.0
SG4_RSIN_AAPL,-2.147637812608872e-06,1.7219390876817804e-06,1.0634010603470908e-05,-0.0043369878851468036,0.0031511588210777486,0.01947653855222775,16.0
SG5_RSIN_AAPL,3.4550507819008e-05,7.273387348538123e-05,1.0634010603470908e-05,0.06912814924109711,0.15117641765754497,0.01947653855222775,149.0
SG6_RSIN_AAPL,5.7286218174032965e-06,2.353162663878841e-05,1.0634010603470908e-05,0.011020863888976606,0.04648618971318541,0.01947653855222775,70.0
